id,nome,siglaPartido,siglaUf,idLegislatura
178959,Hiran Gonçalves,PP,RR,56
141450,Hugo Leal,PSD,RJ,56
160674,Hugo Motta,PRB,PB,56
204533,Idilvan Alencar,PDT,CE,56
204564,Igor Kannário,PHS,BA,56
204508,Igor Timo,PODE,MG,56
67138,Iracema Portella,PP,PI,56
204436,Isnaldo Bulhões Jr.,MDB,AL,56
73531,Ivan Valente,PSOL,SP,56
74848,Jandira Feghali,PCdoB,RJ,56
108338,Jaqueline Cassol,PP,RO,56
74273,Jefferson Campos,PSB,SP,56
160570,Jerônimo Goergen,PP,RS,56
178839,Jéssica Sales,MDB,AC,56
204435,Jesus Sérgio,PDT,AC,56
178842,Jhc,PSB,AL,56
160531,Jhonatan de Jesus,PRB,RR,56
74366,João Campos,PRB,GO,56
141458,João Carlos Bacelar,PR,BA,56
178970,João Daniel,PT,SE,56
204429,João H. Campos,PSB,PE,56
141459,João Maia,PR,RN,56
112437,João Marcelo Souza,MDB,MA,56
204576,João Roma,PRB,BA,56
178910,Joaquim Passarinho,PSD,PA,56
214865,Joceval Rodrigues,PPS,BA,56
204468,Joenia Wapichana,REDE,RR,56
204546,Joice Hasselmann,PSL,SP,56
217480,Jones Moura,PSD,RJ,56
205550,Jorge Braz,PRB,RJ,56
214694,Jorge Goetten,PR,SC,56
178857,Jorge Solla,PT,BA,56
218245,Jorielson,PR,AP,56
141464,José Airton Félix Cirilo,PT,CE,56
141470,José Guimarães,PT,CE,56
204386,Jose Mario Schreiner,DEM,GO,56
204472,José Medeiros,PODE,MT,56
204391,José Nelto,PODE,GO,56
160619,José Nunes,PSD,BA,56
74079,José Priante,MDB,PA,56
204555,José Ricardo,PT,AM,56
74554,José Rocha,PR,BA,56
209189,Joseildo Ramos,PT,BA,56
74141,Josias Gomes,PT,BA,56
204563,Josimar Maranhãozinho,PR,MA,56
215043,Josivaldo JP,PHS,MA,56
204474,Juarez Costa,MDB,MT,56
204420,Julian Lemos,PSL,PB,56
74317,Júlio Cesar,PSD,PI,56
204372,Julio Cesar Ribeiro,PRB,DF,56
73586,Júlio Delgado,PSB,MG,56
74253,Julio Lopes,PP,RJ,56
204457,Juninho do Pneu,DEM,RJ,56
204497,Júnior Ferrari,PSD,PA,56
204574,Junior Lourenço,PR,MA,56
204550,Júnior Mano,PATRI,CE,56
178886,Juscelino Filho,DEM,MA,56
204536,Kim Kataguiri,DEM,SP,56
151208,Laercio Oliveira,PP,SE,56
141478,Laerte Bessa,PR,DF,56
98057,Lafayette de Andrada,PRB,MG,56
74856,Laura Carneiro,DEM,RJ,56
160534,Lauriete,PR,ES,56
141480,Lázaro Botelho,PP,TO,56
178832,Leandre,PV,PR,56
204375,Leda Sadala,AVANTE,AP,56
178825,LEO DE BRITO,PT,AC,56
204359,Léo Moraes,PODE,RO,56
204547,Léo Motta,PSL,MG,56
122195,Leonardo Gadelha,PSC,PB,56
74156,Leonardo Monteiro,PT,MG,56
74254,Leonardo Picciani,MDB,RJ,56
74299,Leônidas Cristino,PDT,CE,56
92102,Leur Lomanto Júnior,DEM,BA,56
139285,Lídice da Mata,PSB,BA,56
74585,Lincoln Portela,PR,MG,56
204405,Liziane Bayer,PSB,RS,56
204382,Loester Trutis,PSL,MS,56
196358,Lourival Gomes,PSL,RJ,56
219592,Lucas Follador,DEM,RO,56
204523,Lucas Gonzalez,NOVO,MG,56
204404,Lucas Redecker,PSDB,RS,56
178879,Lucas Vergilio,SOLIDARIEDADE,GO,56
74478,Luciano Bivar,PSL,PE,56
178931,Luciano Ducci,PSB,PR,56
178954,Lucio Mosquini,MDB,RO,56
204381,Luis Miranda,DEM,DF,56
160510,Luis Tibé,AVANTE,MG,56
204410,Luisa Canziani,PTB,PR,56
204448,Luiz Antônio Corrêa,DC,RJ,56
160645,Luiz Carlos,PSDB,AP,56
204485,Luiz Carlos Motta,PR,SP,56
204543,LUIZ FLÁVIO GOMES,PSB,SP,56
178982,Luiz Lauro Filho,PSB,SP,56
204455,Luiz Lima,PSL,RJ,56
162332,Luiz Nishimori,PR,PR,56
204526,Luiz Philippe de Orleans e Bragança,PSL,SP,56
74784,Luiza Erundina,PSOL,SP,56
204418,LUIZÃO GOULART,PRB,PR,56
178866,Luizianne Lins,PT,CE,56
166402,Magda Mofatto,PR,GO,56
151965,Maia Filho,PP,PI,56
204458,Major Fabiana,PSL,RJ,56
179587,MAJOR VITOR HUGO,PSL,GO,56
204469,Manuel Marcos,PRB,AC,56
204471,Mara Rocha,PSDB,AC,56
212749,Marcão Gomes,PR,RJ,56
156190,Marcel van Hattem,NOVO,RS,56
179000,Marcelo Álvaro Antônio,PSL,MG,56
146788,Marcelo Aro,PHS,MG,56
205863,Marcelo Brum,PSL,RS,56
204433,Marcelo Calero,PPS,RJ,56
76874,Marcelo Freixo,PSOL,RJ,56
133810,Marcelo Moraes,PTB,RS,56
204558,Marcelo Nilo,PSB,BA,56
204556,Marcelo Ramos,PR,AM,56
118594,Marcelo Squassoni,PRB,SP,56
221147,Marcia Scherer,MDB,RS,56
178983,Marcio Alvino,PR,SP,56
179001,Márcio Biolchi,MDB,RS,56
221183,Márcio Dória,PCdoB,SE,56
81055,Márcio Jerry,PCdoB,MA,56
